cc2 ccsd hf
E=IE+E_k,eV   Sigma_par     Sigma_perp    Sigma_tot     beta	E_k,eV        xsec/E,a.u. 	E=IE+E_k,eV   Sigma_par     Sigma_perp    Sigma_tot     beta	E_k,eV        xsec/E,a.u. 	E=IE+E_k,eV   Sigma_par     Sigma_perp    Sigma_tot     beta	E_k,eV        xsec/E,a.u. 
0.100000      0.000271      0.000344      0.004018     -0.152566	0.100000      1.093410	0.100000      0.000341      0.000438      0.005101     -0.158957	0.100000      1.388143	0.100000      0.001710      0.001807      0.022302     -0.036648	0.100000      6.068478
1.100000      0.004034      0.010232      0.102616     -0.505938	1.100000      2.538403	1.100000      0.005295      0.012758      0.129056     -0.484445	1.100000      3.192467	1.100000      0.026029      0.029741      0.358187     -0.086807	1.100000      8.860474
2.100000      0.018352      0.022931      0.268979     -0.142601	2.100000      3.485287	2.100000      0.023639      0.028197      0.335237     -0.113899	2.100000      4.343828	2.100000      0.181272      0.066878      1.319590      0.726244	2.100000     17.098555
3.100000      0.032937      0.038337      0.459143     -0.098530	3.100000      4.030198	3.100000      0.039766      0.046353      0.554902     -0.099446	3.100000      4.870730	3.100000      0.257128      0.137702      2.230669      0.448520	3.100000     19.580021
4.100000      0.039178      0.055044      0.625247     -0.212593	4.100000      4.149615	4.100000      0.044097      0.065002      0.729273     -0.240152	4.100000      4.840008	4.100000      0.192312      0.205217      2.524777     -0.042821	4.100000     16.756334
5.100000      0.039184      0.071102      0.759792     -0.351934	5.100000      4.053817	5.100000      0.041356      0.081817      0.858664     -0.394762	5.100000      4.581346	5.100000      0.108934      0.246719      2.523211     -0.457475	5.100000     13.462423
6.100000      0.036748      0.085379      0.869201     -0.468717	6.100000      3.877307	6.100000      0.036947      0.095882      0.958024     -0.515362	6.100000      4.273525	6.100000      0.063231      0.263618      2.473346     -0.678739	6.100000     11.033029
7.100000      0.034063      0.097402      0.958677     -0.553502	7.100000      3.674125	7.100000      0.033338      0.107120      1.037051     -0.596033	7.100000      3.974492	7.100000      0.049704      0.264680      2.425576     -0.742495	7.100000      9.296005
8.100000      0.032049      0.106991      1.030577     -0.609208	8.100000      3.462064	8.100000      0.031190      0.115686      1.099821     -0.643628	8.100000      3.694679	8.100000      0.053059      0.257015      2.375418     -0.719309	8.100000      7.979853
9.100000      0.031096      0.114094      1.086085     -0.640204	9.100000      3.247597	9.100000      0.030564      0.121736      1.147878     -0.665400	9.100000      3.432369	9.100000      0.065044      0.244622      2.321797     -0.647960	9.100000      6.942608
10.100000      0.031427      0.118746      1.126448     -0.649411	10.100000      3.034797	10.100000      0.031427      0.125409      1.182262     -0.665962	10.100000      3.185166	10.100000      0.083048      0.229418      2.269842     -0.540224	10.100000      6.115246
					
