
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      565
 18.1561 -16.6387  565 
 16.6387 -18.3782  565 
 13.6134 -16.9581  565 
 13.1719 -16.6387  565 
 10.5882 -14.5883  565 
 9.30267 -13.6134  565 
 7.56303 -12.3038  565 
 5.17072 -10.5882  565 
 4.53782 -10.1539  565 
 1.51261 -7.86532  565 
 1.16473 -7.56303  565 
-1.51261 -5.19963  565 
-2.1561 -4.53782  565 
-4.53782 -1.73697  565 
-4.70785 -1.51261  565 
-6.24899  1.51261  565 
-7.21435  4.53782  565 
-4.53782  7.11949  565 
-1.51261  6.09681  565 
 1.43816  4.53782  565 
 1.51261  4.49578  565 
 4.53782  1.8878  565 
 4.92243  1.51261  565 
 7.56303 -1.44461  565 
 7.62339 -1.51261  565 
 9.86795 -4.53782  565 
 10.5882 -5.55682  565 
 12.0639 -7.56303  565 
 13.6134 -9.59426  565 
 14.3675 -10.5882  565 
 16.6387 -13.4367  565 
 16.7666 -13.6134  565 
 18.1561 -16.6387  565 


# Contour 1, label:      500
 18.208  7.56303  500 
 19.6639  6.1083  500 
 21.2057  4.53782  500 
 22.6891  2.97388  500 
 24.0288  1.51261  500 
 25.7143 -0.39152  500 
 26.6745 -1.51261  500 
 28.7395 -3.97941  500 
 29.1947 -4.53782  500 
 31.6098 -7.56303  500 
 31.7647 -7.76471  500 
 33.8984 -10.5882  500 
 34.7899 -11.822  500 
 36.0713 -13.6134  500 
 37.8151 -16.1856  500 
 38.1185 -16.6387  500 
 40.0119 -19.6639  500 
 40.8403 -21.0237  500 
 41.8317 -22.6891  500 
 43.5892 -25.7143  500 
 43.8655 -26.2167  500 
 45.1787 -28.7395  500 
 46.6827 -31.7647  500 
 46.8908 -32.2523  500 
 47.9049 -34.7899  500 
 48.8774 -37.8151  500 
 49.5365 -40.8403  500 
 49.7424 -43.8655  500 
 49.0904 -46.8908  500 

 49.0904 -46.8908  500 
 46.8908 -49.302  500 
 44.8525 -49.916  500 
 43.8655 -50.0855  500 
 40.8403 -49.9585  500 
 40.6366 -49.916  500 
 37.8151 -49.318  500 
 34.7899 -48.3399  500 
 31.7647 -47.1251  500 
 31.2724 -46.8908  500 
 28.7395 -45.6093  500 
 25.7143 -44.0027  500 
 25.473 -43.8655  500 
 22.6891 -42.213  500 
 20.3758 -40.8403  500 
 19.6639 -40.4138  500 
 16.6387 -38.5805  500 
 15.4305 -37.8151  500 
 13.6134 -36.6503  500 
 10.8736 -34.7899  500 
 10.5882 -34.5924  500 
 7.56303 -32.3534  500 
 6.80246 -31.7647  500 
 4.53782 -29.9668  500 
 3.03484 -28.7395  500 
 1.51261 -27.4534  500 
-0.497421 -25.7143  500 
-1.51261 -24.806  500 
-3.82045 -22.6891  500 
-4.53782 -22.0149  500 
-6.96512 -19.6639  500 
-7.56303 -19.0759  500 
-9.96539 -16.6387  500 
-10.5882 -16.0006  500 
-12.8684 -13.6134  500 
-13.6134 -12.823  500 
-15.6988 -10.5882  500 
-16.6387 -9.55323  500 
-18.4307 -7.56303  500 
-19.6639 -6.14039  500 
-21.0314 -4.53782  500 
-22.6891 -2.52099  500 
-23.4974 -1.51261  500 
-25.7143  1.33841  500 
-25.8454  1.51261  500 
-28.0367  4.53782  500 
-28.7395  5.53601  500 
-30.1212  7.56303  500 
-31.7647  10.0599  500 
-32.1044  10.5882  500 
-33.9126  13.6134  500 
-34.7899  15.1823  500 
