
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:( ($6 != 0 ? -$6 : 1.6) )"

# Contour 0, label:      1.3
 21.0251 -20  1.3 
 20 -21.5002  1.3 
 16.3636 -22.6329  1.3 
 12.7273 -21.8849  1.3 
 9.09091 -20.4649  1.3 
 8.16796 -20  1.3 
 5.45455 -18.5866  1.3 
 1.81818 -16.7296  1.3 
 1.14619 -16.3636  1.3 
-1.81818 -14.8095  1.3 
-5.31035 -12.7273  1.3 
-5.45455 -12.6391  1.3 
-9.09091 -9.85775  1.3 
-9.966 -9.09091  1.3 
-12.7273 -6.38246  1.3 
-13.6219 -5.45455  1.3 
-16.3636 -2.17328  1.3 
-16.6612 -1.81818  1.3 
-19.5971  1.81818  1.3 
-20  2.28908  1.3 
-22.8007  5.45455  1.3 
-23.6364  6.43976  1.3 
-25.6601  9.09091  1.3 
-27.2727  11.5922  1.3 
-27.9251  12.7273  1.3 
-29.3603  16.3636  1.3 
-30.0354  20  1.3 
-29.8334  23.6364  1.3 
-28.006  27.2727  1.3 
-27.2727  27.8951  1.3 
-23.6364  29.2328  1.3 
-20  29.3391  1.3 
-16.3636  28.737  1.3 
-12.7273  27.5127  1.3 
-12.2428  27.2727  1.3 
-9.09091  25.2774  1.3 
-7.14463  23.6364  1.3 
-5.45455  21.9022  1.3 
-3.84466  20  1.3 
-1.81818  17.8232  1.3 
-0.3837  16.3636  1.3 
 1.81818  14.3537  1.3 
 3.47807  12.7273  1.3 
 5.45455  10.7807  1.3 
 6.9232  9.09091  1.3 
 9.09091  6.33114  1.3 
 9.71188  5.45455  1.3 
 11.8717  1.81818  1.3 
 12.7273  0.111919  1.3 
 13.7175 -1.81818  1.3 
 15.5536 -5.45455  1.3 
 16.3636 -7.01197  1.3 
 17.5115 -9.09091  1.3 
 19.5027 -12.7273  1.3 
 20 -13.8069  1.3 
 20.9053 -16.3636  1.3 
 21.0251 -20  1.3 


# Contour 1, label:      1.4
 33.6362  5.45455  1.4 
 34.5455  3.43004  1.4 
 35.2103  1.81818  1.4 
 36.8639 -1.81818  1.4 
 38.1818 -4.49057  1.4 
 38.7241 -5.45455  1.4 
 40.4296 -9.09091  1.4 
 41.5851 -12.7273  1.4 
 41.8182 -13.8295  1.4 
 42.4186 -16.3636  1.4 
 43.2283 -20  1.4 
 44.2871 -23.6364  1.4 
 45.2831 -27.2727  1.4 
 45.4545 -28.0923  1.4 
 45.9926 -30.9091  1.4 
 46.2773 -34.5455  1.4 
 45.9948 -38.1818  1.4 

 45.9948 -38.1818  1.4 
 45.4545 -39.9604  1.4 
 44.7558 -41.8182  1.4 
 41.8182 -45.3531  1.4 
 41.6652 -45.4545  1.4 
 38.1818 -47.1808  1.4 
