
# Surface 0 of 1 surfaces

# Curve title: "'test.dat'"

# Contour 0, label:      565
 11.3335 -10.5882  565 
 10.5882 -11.3829  565 
 7.56303 -10.8719  565 
 7.10872 -10.5882  565 
 4.53782 -9.11264  565 
 2.37571 -7.56303  565 
 1.51261 -6.99248  565 
-1.13722 -4.53782  565 
-1.51261 -4.16703  565 
-3.36419 -1.51261  565 
-4.53782  0.945965  565 
-4.79268  1.51261  565 
-5.21373  4.53782  565 
-4.53782  6.30949  565 
-1.51261  6.78504  565 
 1.51261  5.48677  565 
 2.79115  4.53782  565 
 4.53782  3.06606  565 
 5.95863  1.51261  565 
 7.56303 -0.67235  565 
 8.14075 -1.51261  565 
 9.73185 -4.53782  565 
 10.5882 -6.52617  565 
 11.0331 -7.56303  565 
 11.3335 -10.5882  565 


# Contour 1, label:      500
 15.4329  10.5882  500 
 16.6387  9.29621  500 
 18.2405  7.56303  500 
 19.6639  5.96437  500 
 20.92  4.53782  500 
 22.6891  2.45518  500 
 23.4765  1.51261  500 
 25.7143 -1.2396  500 
 25.9307 -1.51261  500 
 28.251 -4.53782  500 
 28.7395 -5.19408  500 
 30.4542 -7.56303  500 
 31.7647 -9.43701  500 
 32.5526 -10.5882  500 
 34.5148 -13.6134  500 
 34.7899 -14.0718  500 
 36.3067 -16.6387  500 
 37.8151 -19.2853  500 
 38.0281 -19.6639  500 
 39.6407 -22.6891  500 
 40.8403 -24.9251  500 
 41.2526 -25.7143  500 
 42.7419 -28.7395  500 
 43.8655 -31.0833  500 
 44.1725 -31.7647  500 
 45.3158 -34.7899  500 
 46.1873 -37.8151  500 
 46.5619 -40.8403  500 
 46.0295 -43.8655  500 

 46.0295 -43.8655  500 
 43.8655 -46.4536  500 
 42.6261 -46.8908  500 
 40.8403 -47.2511  500 
 37.8151 -47.058  500 
 37.1434 -46.8908  500 
 34.7899 -46.2719  500 
 31.7647 -45.1381  500 
 28.7933 -43.8655  500 
 28.7395 -43.841  500 
 25.7143 -42.283  500 
 22.9313 -40.8403  500 
 22.6891 -40.7118  500 
 19.6639 -39.0038  500 
 17.5908 -37.8151  500 
 16.6387 -37.2647  500 
 13.6134 -35.3864  500 
 12.7256 -34.7899  500 
 10.5882 -33.3376  500 
 8.41215 -31.7647  500 
 7.56303 -31.1405  500 
 4.53782 -28.7911  500 
 4.4752 -28.7395  500 
 1.51261 -26.2369  500 
 0.926751 -25.7143  500 
-1.51261 -23.4652  500 
