
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:5"

# Contour 0, label:      3.5
 105.447 -154.545  3.5 
 103.636 -158.111  3.5 
 103.602 -158.182  3.5 
 100.188 -161.818  3.5 
 100 -161.959  3.5 
 96.3636 -164.836  3.5 
 95.6468 -165.455  3.5 
 92.7273 -167.409  3.5 
 90.283 -169.091  3.5 
 89.0909 -169.784  3.5 
 85.4545 -171.695  3.5 
 82.9915 -172.727  3.5 
 81.8182 -173.167  3.5 
 78.1818 -174.012  3.5 
 74.5455 -174.291  3.5 
 70.9091 -174.02  3.5 
 67.2727 -173.247  3.5 
 65.6986 -172.727  3.5 
 63.6364 -171.907  3.5 
 60 -170.034  3.5 
 58.4887 -169.091  3.5 
 56.3636 -167.333  3.5 
 54.4125 -165.455  3.5 
 52.7273 -162.787  3.5 
 52.1772 -161.818  3.5 
 51.608 -158.182  3.5 
 52.4891 -154.545  3.5 
 52.7273 -154.121  3.5 
 54.7753 -150.909  3.5 
 56.3636 -149.135  3.5 
 58.3713 -147.273  3.5 
 60 -145.993  3.5 
 63.6364 -143.694  3.5 
 63.7625 -143.636  3.5 
 67.2727 -142.081  3.5 
 70.9091 -141.21  3.5 
 74.5455 -140.97  3.5 
 78.1818 -141.102  3.5 
 81.8182 -141.127  3.5 
 85.4545 -140.98  3.5 
 89.0909 -141.031  3.5 
 92.7273 -141.481  3.5 
 96.3636 -142.483  3.5 
 99.109 -143.636  3.5 
 100 -144.11  3.5 
 103.636 -146.848  3.5 
 104.004 -147.273  3.5 
 105.627 -150.909  3.5 
 105.447 -154.545  3.5 


# Contour 1, label:        3
-30.6545  180  3 
-30.9091  179.7  3 
-33.3842  176.364  3 
-34.5455  174.405  3 
-35.4537  172.727  3 
-37.1744  169.091  3 
-38.1818  166.787  3 
-38.7641  165.455  3 
-40.4436  161.818  3 
-41.8182  159.195  3 
-42.3951  158.182  3 
-44.7938  154.545  3 
-45.4545  153.643  3 
-47.6515  150.909  3 
-49.0909  149.279  3 
-51.092  147.273  3 
-52.7273  145.771  3 
-55.4518  143.636  3 
-56.3636  142.976  3 
-60  140.83  3 
-61.8093  140  3 
-63.6364  139.22  3 
-67.2727  138.127  3 
-70.9091  137.475  3 
-74.5455  137.252  3 
-78.1818  137.452  3 
-81.8182  138.074  3 
-85.4545  139.151  3 
-87.4206  140  3 
-89.0909  140.924  3 
-92.5278  143.636  3 
-92.7273  143.867  3 
-94.967  147.273  3 
-96.1795  150.909  3 
-96.3636  152.786  3 
-96.5053  154.545  3 
-96.3636  156.324  3 
-96.2163  158.182  3 
-95.4486  161.818  3 
-94.3509  165.455  3 
-93.0427  169.091  3 
-92.7273  169.871  3 
-91.5519  172.727  3 
-90.0519  176.364  3 
-89.0909  178.786  3 
-88.5785  180  3 

-30.7614 -180  3 
-30.9091 -179.713  3 
