
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:       12
 2.50859 -1.81818  12 
 1.81818 -2.51176  12 
 0.721261 -1.81818  12 
 1.81818 -0.766924  12 
 2.50859 -1.81818  12 

 21.6441 -20  12 
 20 -21.4301  12 
 17.3552 -20  12 
 20 -16.7164  12 
 21.6441 -20  12 


# Contour 1, label:        9
 46.4199 -41.8182  9 
 45.4545 -44.166  9 
 42.9065 -45.4545  9 
 41.8182 -45.645  9 
 41.0809 -45.4545  9 
 38.1818 -44.6985  9 
 34.5455 -42.5893  9 
 33.5353 -41.8182  9 
 30.9091 -39.7481  9 
 28.8273 -38.1818  9 
 27.2727 -37.2257  9 
 23.6364 -35.2303  9 
 22.3391 -34.5455  9 
 20 -33.5019  9 
 16.3636 -31.6576  9 
 15.2167 -30.9091  9 
 12.7273 -29.2115  9 
 10.4884 -27.2727  9 
 9.09091 -25.8845  9 
 7.06929 -23.6364  9 
 5.45455 -21.6676  9 
 4.07822 -20  9 
 1.81818 -17.5507  9 
 0.553819 -16.3636  9 
-1.81818 -14.3271  9 
-3.67838 -12.7273  9 
-5.45455 -11.1425  9 
-7.45601 -9.09091  9 
-9.09091 -7.12641  9 
-10.3395 -5.45455  9 
-12.4979 -1.81818  9 
-12.7273 -1.31985  9 
-14.26  1.81818  9 
-16.0911  5.45455  9 
-16.3636  6.02192  9 
-18.0917  9.09091  9 
-20  12.2065  9 
-20.3053  12.7273  9 
-21.6584  16.3636  9 
-21.3206  20  9 
-20  21.075  9 
-16.3636  20.9475  9 
-13.8783  20  9 
-12.7273  19.4285  9 
-9.09091  17.4613  9 
-6.96672  16.3636  9 
-5.45455  15.6588  9 
-1.81818  13.9732  9 
 0.773864  12.7273  9 
 1.81818  12.247  9 
 5.45455  10.1138  9 
 6.85882  9.09091  9 
 9.09091  7.27913  9 
 11.0455  5.45455  9 
 12.7273  3.64859  9 
 14.401  1.81818  9 
 16.3636 -0.352439  9 
 17.8466 -1.81818  9 
 20 -3.68756  9 
 22.3344 -5.45455  9 
 23.6364 -6.44872  9 
 26.8004 -9.09091  9 
 27.2727 -9.54051  9 
 30.1672 -12.7273  9 
 30.9091 -13.7913  9 
 32.617 -16.3636  9 
 34.4914 -20  9 
 34.5455 -20.1284  9 
 36.3092 -23.6364  9 
 38.1818 -26.8424  9 
 38.5059 -27.2727  9 
 41.2174 -30.9091  9 
 41.8182 -31.6993  9 
 43.9044 -34.5455  9 
 45.4545 -37.342  9 
 45.8792 -38.1818  9 
 46.4199 -41.8182  9 

 92.9705 -143.636  9 
 92.7273 -146.378  9 
 92.6535 -147.273  9 
 91.2043 -150.909  9 
 89.0909 -154.221  9 
 88.8992 -154.545  9 
 85.4545 -158.174  9 
 85.4472 -158.182  9 
 81.8182 -160.335  9 
 78.1818 -161.355  9 
