
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      600
 43.4097 -38.7342  600 
 43.2911 -39.3659  600 
 40.4731 -43.2911  600 
 38.7342 -43.7828  600 
 36.9955 -43.2911  600 
 34.1772 -42.231  600 
 29.6203 -39.5598  600 
 28.3736 -38.7342  600 
 25.0633 -36.6517  600 
 20.5162 -34.1772  600 
 20.5063 -34.1725  600 
 15.9494 -31.4884  600 
 13.3065 -29.6203  600 
 11.3924 -28.1526  600 
 7.98303 -25.0633  600 
 6.83544 -23.8943  600 
 3.59656 -20.5063  600 
 2.27848 -19.179  600 
-1.19168 -15.9494  600 
-2.27848 -15.0117  600 
-6.25855 -11.3924  600 
-6.83544 -10.8485  600 
-10.5699 -6.83544  600 
-11.3924 -5.82138  600 
-14.1624 -2.27848  600 
-15.9494  0.13027  600 
-17.6783  2.27848  600 
-20.5063  5.48496  600 
-21.773  6.83544  600 
-25.0633  10.4601  600 
-25.8342  11.3924  600 
-28.9778  15.9494  600 
-29.6203  17.2545  600 
-31.1902  20.5063  600 
-32.9122  25.0633  600 
-34.1772  28.7858  600 
-34.5054  29.6203  600 
-34.9165  34.1772  600 
-34.1772  34.9283  600 
-29.6203  34.5561  600 
-28.6478  34.1772  600 
-25.0633  32.9719  600 
-20.5063  31.2295  600 
-17.1766  29.6203  600 
-15.9494  29.0209  600 
-11.3924  25.9393  600 
-10.2928  25.0633  600 
-6.83544  22.0444  600 
-5.12061  20.5063  600 
-2.27848  18.0206  600 
 0.187815  15.9494  600 
 2.27848  14.3001  600 
 5.67441  11.3924  600 
 6.83544  10.3728  600 
 10.3518  6.83544  600 
 11.3924  5.66232  600 
 14.2978  2.27848  600 
 15.9494  0.296  600 
 18.2858 -2.27848  600 
 20.5063 -4.49615  600 
 22.976 -6.83544  600 
 25.0633 -8.87044  600 
 27.3664 -11.3924  600 
 29.6203 -14.3127  600 
 30.7779 -15.9494  600 
 33.3878 -20.5063  600 
 34.1772 -22.0712  600 
 35.8703 -25.0633  600 
 38.7342 -29.4513  600 
 38.8505 -29.6203  600 
 41.4885 -34.1772  600 
 43.2911 -38.3726  600 
 43.4097 -38.7342  600 


# Contour 1, label:      400
 20.5063  24.2661  400 
 24.4208  20.5063  400 
 25.0633  19.9338  400 
 29.5534  15.9494  400 
 29.6203  15.8882  400 
 34.1772  11.4874  400 
 34.2677  11.3924  400 
 38.4743  6.83544  400 
 38.7342  6.54607  400 
 42.5948  2.27848  400 
 43.2911  1.52746  400 
 46.9221 -2.27848  400 
 47.8481 -3.29987  400 
 50.927 -6.83544  400 
 52.4051 -8.74451  400 
 54.2854 -11.3924  400 
 56.962 -15.557  400 
 57.1944 -15.9494  400 
 59.8313 -20.5063  400 
 61.519 -23.4887  400 
 62.3711 -25.0633  400 
 64.6616 -29.6203  400 
 66.0759 -32.7057  400 
 66.7219 -34.1772  400 
 68.6254 -38.7342  400 
 70.4858 -43.2911  400 
 70.6329 -43.6714  400 
