CC2 CCSD HF
E=IE+E_k,eV   Sigma_par     Sigma_perp    Sigma_tot     beta	E_k,eV        xsec/E,a.u. 	E=IE+E_k,eV   Sigma_par     Sigma_perp    Sigma_tot     beta	E_k,eV        xsec/E,a.u. 	E=IE+E_k,eV   Sigma_par     Sigma_perp    Sigma_tot     beta	E_k,eV        xsec/E,a.u. 
0.100000      0.662940      0.015387      2.905826      1.866913	0.100000    790.695639	0.100000      0.658173      0.016025      2.891200      1.860695	0.100000    786.715711	0.100000      0.494115      0.019126      2.229972      1.784446	0.100000    606.791067
0.200000      1.996752      0.028264      8.600763      1.917407	0.200000   1170.163913	0.200000      1.979578      0.029367      8.538061      1.913555	0.200000   1161.633071	0.200000      1.438026      0.033682      6.305763      1.865755	0.200000    857.921149
0.300000      2.857799      0.040738     12.312012      1.916840	0.300000   1116.728244	0.300000      2.829745      0.041985     12.204939      1.913544	0.300000   1107.016495	0.300000      1.987781      0.045030      8.703641      1.869970	0.300000    789.440556
0.400000      2.933863      0.057704     12.772756      1.886457	0.400000    868.889075	0.400000      2.901213      0.058898     12.645998      1.882945	0.400000    860.266155	0.400000      1.959271      0.059034      8.701534      1.829492	0.400000    591.937073
0.500000      2.439717      0.078671     10.878534      1.818247	0.500000    592.025047	0.500000      2.408912      0.079727     10.758345      1.813749	0.500000    585.484207	0.500000      1.549705      0.076158      7.129408      1.731527	0.500000    387.992372
0.600000      1.717399      0.099393      8.026495      1.688779	0.600000    364.010905	0.600000      1.692781      0.100291      7.930900      1.682181	0.600000    359.675594	0.600000      1.024469      0.092962      5.070077      1.539182	0.600000    229.933936
0.700000      1.034558      0.114878      5.295943      1.454829	0.700000    205.866194	0.700000      1.017930      0.115630      5.232594      1.444617	0.700000    203.403639	0.700000      0.572408      0.105083      3.278041      1.194325	0.700000    127.425440
0.800000      0.531331      0.121584      3.244217      1.058095	0.800000    110.346767	0.800000      0.522453      0.122214      3.212307      1.043809	0.800000    109.261400	0.800000      0.277637      0.109407      2.079530      0.677727	0.800000     70.731835
0.900000      0.240161      0.118352      1.997491      0.510874	0.900000     60.392365	0.900000      0.237552      0.118887      1.991039      0.499301	0.900000     60.197309	0.900000      0.143862      0.104976      1.482055      0.219812	0.900000     44.808612
1.000000      0.127779      0.106302      1.425788      0.126194	1.000000     38.796687	1.000000      0.129464      0.106765      1.436731      0.132361	1.000000     39.094440	1.000000      0.131099      0.092901      1.327428      0.241071	1.000000     36.120251
1.100000      0.133890      0.088133      1.299175      0.295061	1.100000     32.137693	1.100000      0.137946      0.088544      1.319616      0.313626	1.100000     32.643331	1.100000      0.186190      0.075704      1.414127      0.654540	1.100000     34.981252
1.200000      0.197646      0.067232      1.391143      0.785360	1.200000     31.544959	1.200000      0.202508      0.067608      1.414654      0.798880	1.200000     32.078092	1.200000      0.261821      0.056487      1.569936      1.095716	1.200000     35.599198
1.300000      0.271559      0.046868      1.530142      1.230193	1.300000     32.027860	1.300000      0.276145      0.047216      1.552271      1.235526	1.300000     32.491057	1.300000      0.325062      0.038186      1.681518      1.429262	1.300000     35.196361
1.400000      0.325961      0.029612      1.613461      1.538734	1.400000     31.359560	1.400000      0.329660      0.029938      1.631690      1.538863	1.400000     31.713859	1.400000      0.358673      0.023057      1.695571      1.658231	1.400000     32.955477
1.500000      0.347679      0.017053      1.599218      1.732002	1.500000     29.010548	1.500000      0.350269      0.017357      1.612615      1.729488	1.500000     29.253574	1.500000      0.358435      0.012428      1.605525      1.805454	1.500000     29.124956
1.600000      0.335985      0.009747      1.489025      1.835486	1.600000     25.323377	1.600000      0.337518      0.010025      1.497780      1.831774	1.600000     25.472269	1.600000      0.328965      0.006673      1.433868      1.883042	1.600000     24.385337
1.700000      0.297887      0.007362      1.309459      1.858703	1.700000     20.959586	1.700000      0.298578      0.007609      1.314424      1.854519	1.700000     21.039044	1.700000      0.279576      0.005364      1.216025      1.889127	1.700000     19.464044
1.800000      0.243949      0.008926      1.096632      1.795427	1.800000     16.577841	1.800000      0.244084      0.009134      1.098934      1.791110	1.800000     16.612644	1.800000      0.220925      0.007518      0.988392      1.808836	1.800000     14.941574
1.900000      0.185144      0.013117      0.885415      1.627684	1.900000     12.680393	1.900000      0.185006      0.013277      0.886182      1.623443	1.900000     12.691383	1.900000      0.162737      0.011860      0.781032      1.618350	1.900000     11.185484
2.000000      0.130830      0.018527      0.703234      1.337860	2.000000      9.567748	2.000000      0.130657      0.018636      0.703417      1.334163	2.000000      9.570234	2.000000      0.112501      0.017082      0.614349      1.301192	2.000000      8.358430
					
