
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$6)"

# Contour 0, label:      1.3
 24.4967 -20  1.3 
 23.6364 -22.29  1.3 
 22.3287 -23.6364  1.3 
 20 -24.5359  1.3 
 16.3636 -24.209  1.3 
 14.8481 -23.6364  1.3 
 12.7273 -22.6302  1.3 
 9.09091 -20.3781  1.3 
 8.56076 -20  1.3 
 5.45455 -17.7118  1.3 
 3.50509 -16.3636  1.3 
 1.81818 -15.2677  1.3 
-1.81818 -13.0743  1.3 
-2.34687 -12.7273  1.3 
-5.45455 -10.5654  1.3 
-7.24254 -9.09091  1.3 
-9.09091 -7.37927  1.3 
-10.8715 -5.45455  1.3 
-12.7273 -3.16496  1.3 
-13.7188 -1.81818  1.3 
-16.1658  1.81818  1.3 
-16.3636  2.14286  1.3 
-18.2358  5.45455  1.3 
-20  8.33929  1.3 
-20.4172  9.09091  1.3 
-22.356  12.7273  1.3 
-23.6364  15.4043  1.3 
-24.0249  16.3636  1.3 
-24.4967  20  1.3 
-23.6364  22.29  1.3 
-22.3287  23.6364  1.3 
-20  24.5359  1.3 
-16.3636  24.209  1.3 
-14.8481  23.6364  1.3 
-12.7273  22.6302  1.3 
-9.09091  20.3781  1.3 
-8.56076  20  1.3 
-5.45455  17.7118  1.3 
-3.50509  16.3636  1.3 
-1.81818  15.2677  1.3 
 1.81818  13.0743  1.3 
 2.34687  12.7273  1.3 
 5.45455  10.5654  1.3 
 7.24254  9.09091  1.3 
 9.09091  7.37927  1.3 
 10.8715  5.45455  1.3 
 12.7273  3.16496  1.3 
 13.7188  1.81818  1.3 
 16.1658 -1.81818  1.3 
 16.3636 -2.14286  1.3 
 18.2358 -5.45455  1.3 
 20 -8.33929  1.3 
 20.4172 -9.09091  1.3 
 22.356 -12.7273  1.3 
 23.6364 -15.4043  1.3 
 24.0249 -16.3636  1.3 
 24.4967 -20  1.3 


# Contour 1, label:      1.4
 38.1818 -7.86957  1.4 
 39.3352 -9.09091  1.4 
 41.8182 -12.1681  1.4 
 42.3249 -12.7273  1.4 
 44.8568 -16.3636  1.4 
 45.4545 -17.5027  1.4 
 46.7399 -20  1.4 
 48.0299 -23.6364  1.4 
 48.8225 -27.2727  1.4 
 49.0909 -30.1143  1.4 
 49.1596 -30.9091  1.4 

 49.1596 -30.9091  1.4 
 49.0909 -33.1279  1.4 
 49.0464 -34.5455  1.4 
 48.4135 -38.1818  1.4 
 47.0331 -41.8182  1.4 
 45.4545 -44.0806  1.4 
 44.004 -45.4545  1.4 
 41.8182 -46.8639  1.4 
 38.1818 -48.0985  1.4 
 34.5455 -48.597  1.4 
 30.9091 -48.5935  1.4 
 27.2727 -48.1734  1.4 
 23.6364 -47.3948  1.4 
 20 -46.3578  1.4 
 17.1317 -45.4545  1.4 
 16.3636 -45.2165  1.4 
 12.7273 -44.0093  1.4 
 9.09091 -42.5264  1.4 
 7.68357 -41.8182  1.4 
 5.45455 -40.75  1.4 
 1.81818 -38.7231  1.4 
 0.856908 -38.1818  1.4 
-1.81818 -36.7232  1.4 
-5.45455 -34.6793  1.4 
-5.67663 -34.5455  1.4 
-9.09091 -32.3358  1.4 
-10.9465 -30.9091  1.4 
-12.7273 -29.4285  1.4 
-14.8465 -27.2727  1.4 
-16.3636 -25.6646  1.4 
-17.9772 -23.6364  1.4 
-20 -21.0646  1.4 
-20.749 -20  1.4 
-23.3104 -16.3636  1.4 
-23.6364 -15.8899  1.4 
-25.6322 -12.7273  1.4 
-27.2727 -9.95372  1.4 
