
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:     15.3
 4.90162 -1.81818  15.3 
 1.81818 -4.60613  15.3 
-1.81818 -3.14651  15.3 
-3.2363 -1.81818  15.3 
-4.90162  1.81818  15.3 
-1.81818  4.60613  15.3 
 1.81818  3.14651  15.3 
 3.2363  1.81818  15.3 
 4.90162 -1.81818  15.3 


# Contour 1, label:       12
 27.9076 -27.2727  12 
 27.2727 -28.0701  12 
 23.6364 -29.5814  12 
 20 -29.3696  12 
 16.3636 -28.2649  12 
 14.487 -27.2727  12 
 12.7273 -26.2399  12 
 9.39293 -23.6364  12 
 9.09091 -23.3708  12 
 5.51675 -20  12 
 5.45455 -19.945  12 
 1.81818 -16.9253  12 
 1.02047 -16.3636  12 
-1.81818 -14.5397  12 
-4.56326 -12.7273  12 
-5.45455 -12.1151  12 
-9.04679 -9.09091  12 
-9.09091 -9.04872  12 
-12.2343 -5.45455  12 
-12.7273 -4.79716  12 
-14.7565 -1.81818  12 
-16.3636  0.71055  12 
-17.0264  1.81818  12 
-19.2071  5.45455  12 
-20  6.64992  12 
-21.5308  9.09091  12 
-23.6364  12.0636  12 
-24.0767  12.7273  12 
-26.2583  16.3636  12 
-27.2727  18.6816  12 
-27.8727  20  12 
-28.5754  23.6364  12 
-27.9076  27.2727  12 
-27.2727  28.0701  12 
-23.6364  29.5814  12 
-20  29.3696  12 
-16.3636  28.2649  12 
-14.487  27.2727  12 
-12.7273  26.2399  12 
-9.39293  23.6364  12 
-9.09091  23.3708  12 
-5.51675  20  12 
-5.45455  19.945  12 
-1.81818  16.9253  12 
-1.02047  16.3636  12 
 1.81818  14.5397  12 
 4.56326  12.7273  12 
 5.45455  12.1151  12 
 9.04679  9.09091  12 
 9.09091  9.04872  12 
 12.2343  5.45455  12 
 12.7273  4.79716  12 
 14.7565  1.81818  12 
 16.3636 -0.71055  12 
 17.0264 -1.81818  12 
 19.2071 -5.45455  12 
 20 -6.64992  12 
 21.5308 -9.09091  12 
 23.6364 -12.0636  12 
 24.0767 -12.7273  12 
 26.2583 -16.3636  12 
 27.2727 -18.6816  12 
 27.8727 -20  12 
 28.5754 -23.6364  12 
