
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      565
 11.3331 -10.5882  565 
 10.5882 -11.3825  565 
 7.56303 -10.8718  565 
 7.10889 -10.5882  565 
 4.53782 -9.11257  565 
 2.37579 -7.56303  565 
 1.51261 -6.99242  565 
-1.13715 -4.53782  565 
-1.51261 -4.16696  565 
-3.36413 -1.51261  565 
-4.53782  0.946103  565 
-4.79262  1.51261  565 
-5.21361  4.53782  565 
-4.53782  6.30916  565 
-1.51261  6.78491  565 
 1.51261  5.48669  565 
 2.79105  4.53782  565 
 4.53782  3.06598  565 
 5.95855  1.51261  565 
 7.56303 -0.672466  565 
 8.14067 -1.51261  565 
 9.7317 -4.53782  565 
 10.5882 -6.52654  565 
 11.033 -7.56303  565 
 11.3331 -10.5882  565 


# Contour 1, label:      500
 15.4329  10.5882  500 
 16.6387  9.29623  500 
 18.2405  7.56303  500 
 19.6639  5.96438  500 
 20.92  4.53782  500 
 22.6891  2.45518  500 
 23.4765  1.51261  500 
 25.7143 -1.2396  500 
 25.9307 -1.51261  500 
 28.251 -4.53782  500 
 28.7395 -5.19407  500 
 30.4542 -7.56303  500 
 31.7647 -9.43698  500 
 32.5526 -10.5882  500 
 34.5148 -13.6134  500 
 34.7899 -14.0717  500 
 36.3068 -16.6387  500 
 37.8151 -19.2852  500 
 38.0282 -19.6639  500 
 39.6407 -22.6891  500 
 40.8403 -24.925  500 
 41.2526 -25.7143  500 
 42.742 -28.7395  500 
 43.8655 -31.0832  500 
 44.1725 -31.7647  500 
 45.3158 -34.7899  500 
 46.1873 -37.8151  500 
 46.5618 -40.8403  500 
 46.0294 -43.8655  500 

 46.0294 -43.8655  500 
 43.8655 -46.4535  500 
 42.6259 -46.8908  500 
 40.8403 -47.2511  500 
 37.8151 -47.058  500 
 37.1435 -46.8908  500 
 34.7899 -46.2719  500 
 31.7647 -45.1382  500 
 28.7932 -43.8655  500 
 28.7395 -43.841  500 
 25.7143 -42.283  500 
 22.9312 -40.8403  500 
 22.6891 -40.7118  500 
 19.6639 -39.0038  500 
 17.5907 -37.8151  500 
 16.6387 -37.2647  500 
 13.6134 -35.3865  500 
 12.7256 -34.7899  500 
 10.5882 -33.3377  500 
 8.41209 -31.7647  500 
 7.56303 -31.1406  500 
 4.53782 -28.7911  500 
 4.47515 -28.7395  500 
 1.51261 -26.237  500 
 0.926703 -25.7143  500 
-1.51261 -23.4653  500 
-2.30201 -22.6891  500 
-4.53782 -20.3948  500 
-5.22231 -19.6639  500 
-7.56303 -17.1092  500 
-7.9958 -16.6387  500 
-10.5882 -13.8204  500 
-10.7915 -13.6134  500 
-13.6134 -10.712  500 
-13.7534 -10.5882  500 
-16.6387 -7.8975  500 
-17.1054 -7.56303  500 
-19.6639 -5.55794  500 
-21.8147 -4.53782  500 
-22.6891 -4.10934  500 
-25.7143 -3.3539  500 
-28.7395 -2.86185  500 
-31.7647 -2.27416  500 
-34.2251 -1.51261  500 
-34.7899 -1.27564  500 
-37.8151  1.11531  500 
-38.0835  1.51261  500 
-38.8117  4.53782  500 
-38.9037  7.56303  500 
-38.7086  10.5882  500 
-38.406  13.6134  500 
-38.1439  16.6387  500 
-38.1545  19.6639  500 
-38.7963  22.6891  500 
-40.014  25.7143  500 
-40.8403  27.3082  500 
-41.5916  28.7395  500 
-43.3156  31.7647  500 
-43.8655  32.7541  500 
-44.8985  34.7899  500 
-46.1527  37.8151  500 
-46.8908  40.7509  500 
-46.9126  40.8403  500 
-46.8908  43.0559  500 
-46.8781  43.8655  500 
-45.0045  46.8908  500 
-43.8655  47.5667  500 
-40.8403  48.0645  500 
-37.8151  47.7437  500 
-34.7899  46.9469  500 
-34.6449  46.8908  500 
-31.7647  45.6777  500 
-28.7395  44.2828  500 
-27.9077  43.8655  500 
-25.7143  42.6948  500 
-22.6891  41.0966  500 
-22.2322  40.8403  500 
-19.6639  39.3572  500 
-17.0482  37.8151  500 
-16.6387  37.571  500 
-13.6134  35.6195  500 
-12.398  34.7899  500 
-10.5882  33.5426  500 
-8.11675  31.7647  500 
-7.56303  31.3596  500 
-4.53782  29.0657  500 
-4.11939  28.7395  500 
-1.51261  26.6598  500 
-0.356681  25.7143  500 
 1.51261  24.1458  500 
 3.17608  22.6891  500 
 4.53782  21.4654  500 
 6.45138  19.6639  500 
 7.56303  18.6055  500 
 9.54243  16.6387  500 
 10.5882  15.6002  500 
 12.5257  13.6134  500 
 13.6134  12.4933  500 
 15.4329  10.5882  500 


# Contour 2, label:      400
-68.0672  73.3553  400 
-65.042  73.3773  400 
-62.0168  73.0387  400 
-58.9916  72.5145  400 
-55.9664  71.8508  400 
-53.0744  71.0924  400 
-52.9412  71.0565  400 
-49.916  70.0845  400 
-46.8908  69.0359  400 
-44.2502  68.0672  400 
-43.8655  67.9196  400 
-40.8403  66.6936  400 
-37.8151  65.4419  400 
-36.8891  65.042  400 
-34.7899  64.1043  400 
-31.7647  62.6996  400 
-30.3692  62.0168  400 
-28.7395  61.1984  400 
-25.7143  59.6126  400 
-24.5671  58.9916  400 
-22.6891  57.9675  400 
-19.6639  56.3452  400 
-18.941  55.9664  400 
-16.6387  54.7177  400 
-13.6134  53.0353  400 
-13.4511  52.9412  400 
-10.5882  51.1989  400 
-8.61437  49.916  400 
-7.56303  49.1997  400 
-4.53782  47.0038  400 
-4.38984  46.8908  400 
-1.51261  44.6265  400 
-0.568004  43.8655  400 
 1.51261  42.1809  400 
 3.18608  40.8403  400 
 4.53782  39.7748  400 
 6.97988  37.8151  400 
 7.56303  37.342  400 
 10.5882  34.8078  400 
 10.6091  34.7899  400 
 13.6134  32.1027  400 
 13.9798  31.7647  400 
 16.6387  29.1932  400 
 17.0974  28.7395  400 
 19.6639  26.0864  400 
 20.0228  25.7143  400 
 22.6891  22.8953  400 
 22.8863  22.6891  400 
 25.7143  19.7724  400 
 25.8176  19.6639  400 
 28.7041  16.6387  400 
 28.7395  16.601  400 
 31.4421  13.6134  400 
 31.7647  13.2472  400 
 34.0213  10.5882  400 
